,arrayGeo,channel,mic,x,y,z
0,arrayGeo1,0,Side1_A8,0.037,0.056,"-0.038
"
1,arrayGeo1,1,Side1_H1,-0.034,0.056,"0.038
"
2,arrayGeo1,2,Side3_A8,-0.056,0.037,"-0.038
"
3,arrayGeo1,3,Side3_H1,-0.056,-0.034,"0.038
"
4,arrayGeo1,4,Side4_A8,-0.037,-0.056,"-0.038
"
5,arrayGeo1,5,Side4_H1,0.034,-0.056,"0.038
"
6,arrayGeo1,6,Side5_A8,0.056,-0.037,"-0.038
"
7,arrayGeo1,7,Side5_H1,0.056,0.034,0.038
8,arrayGeo2,0,Side1_A1,0.057,-0.038,"-0.038
"
9,arrayGeo2,1,Side1_G8,0.057,0.038,"0.023
"
10,arrayGeo2,2,Side3_A1,0.038,0.057,"-0.038
"
11,arrayGeo2,3,Side3_G8,-0.038,0.057,"0.023
"
12,arrayGeo2,4,Side4_A1,-0.057,0.038,"-0.038
"
13,arrayGeo2,5,Side4_G8,-0.057,-0.038,"0.023
"
14,arrayGeo2,6,Side5_A1,-0.038,-0.057,"-0.038
"
15,arrayGeo2,7,Side5_G8,0.038,-0.057,0.023
16,arrayGeo3,0,Side1_A8,0.057,0.038,"-0.038
"
17,arrayGeo3,1,Side2_A8,0.038,0.038,"0.057
"
18,arrayGeo3,2,Side2_G8,-0.023,0.038,"0.057
"
19,arrayGeo3,3,Side4_A1,-0.057,0.038,"-0.038
"
20,arrayGeo3,4,Side5_A1,-0.038,-0.057,"-0.038
"
21,arrayGeo3,5,Side5_G8,0.038,-0.057,"0.023
"
22,arrayGeo3,6,Side5_A8,0.038,-0.057,"-0.038
"
23,arrayGeo3,7,Side5_H1,-0.038,-0.057,0.033
